DAY,SEASON,OPP,RESULT,PS,SB,CMP,ATT,YDS,CMPr,AVG,TD,LNG,SACK
23-Nov,2000,@DET,L,0,0,1,3,6,33.3,2,0,6,0
06-Jan,2001,@CAR,W,0,0,17,29,198,58.6,6.8,1,31,1
22-Dec,2001,vsMIA,W,0,0,11,19,108,57.9,5.7,1,23,3
16-Dec,2001,@BUF,W,0,0,19,35,237,54.3,6.8,0,40,5
09-Dec,2001,vsCLE,W,0,0,19,28,218,67.9,7.8,0,23,3
02-Dec,2001,@NYJ,W,0,0,20,28,213,71.4,7.6,0,46,3
25-Nov,2001,vsNO,W,0,0,19,26,258,73.1,9.9,4,41,4
18-Nov,2001,vsSTL,L,0,0,19,27,185,70.4,6.9,1,27,2
11-Nov,2001,vsBUF,W,0,0,15,21,107,71.4,5.1,1,26,7
04-Nov,2001,@ATL,W,0,0,21,31,250,67.7,8.1,3,44,3
28-Oct,2001,@DEN,L,0,0,25,38,203,65.8,5.3,2,30,2
21-Oct,2001,@IND,W,0,0,16,20,202,80,10.1,3,91,0
14-Oct,2001,vsSD,W,0,0,33,54,364,61.1,6.7,2,26,3
07-Oct,2001,@MIA,L,0,0,12,24,86,50,3.6,0,15,4
30-Sep,2001,vsIND,W,0,0,13,23,168,56.5,7.3,0,38,1
23-Sep,2001,vsNYJ,L,0,0,5,10,46,50,4.6,0,21,0
03-Feb,2001,vsSTL,W,1,1,16,27,145,59.3,5.4,1,23,1
27-Jan,2001,@PIT,W,1,0,12,18,115,66.7,6.4,0,28,2
19-Jan,2001,vsOAK,W,1,0,32,52,312,61.5,6,0,29,2
29-Dec,2002,vsMIA,W,0,0,25,44,221,56.8,5,1,23,1
22-Dec,2002,vsNYJ,L,0,0,19,37,133,51.4,3.6,1,15,2
16-Dec,2002,@TEN,L,0,0,14,29,134,48.3,4.6,0,35,3
08-Dec,2002,vsBUF,W,0,0,15,27,183,55.6,6.8,2,41,0
28-Nov,2002,@DET,W,0,0,18,30,210,60,7,0,28,0
24-Nov,2002,vsMIN,W,0,0,21,34,239,61.8,7,3,27,2
17-Nov,2002,@OAK,L,0,0,18,30,172,60,5.7,0,33,4
10-Nov,2002,@CHI,W,0,0,36,55,328,65.5,6,3,36,2
03-Nov,2002,@BUF,W,0,0,22,26,265,84.6,10.2,3,31,1
27-Oct,2002,vsDEN,L,0,0,15,29,130,51.7,4.5,1,17,5
13-Oct,2002,vsGB,L,0,0,24,44,183,54.5,4.2,1,18,2
06-Oct,2002,@MIA,L,0,0,17,31,240,54.8,7.7,2,34,3
29-Sep,2002,@SD,L,0,0,36,53,353,67.9,6.7,2,26,0
22-Sep,2002,vsKC,W,0,0,39,54,410,72.2,7.6,4,38,4
15-Sep,2002,@NYJ,W,0,0,25,35,269,71.4,7.7,2,49,0
09-Sep,2002,vsPIT,W,0,0,29,43,294,67.4,6.8,3,40,2
